ds,yhat,yhat_lower,yhat_upper
2023-03-22,433.606373259872,-277.63082560724496,1158.3040810321268
2023-03-22,433.606373259872,-293.89569772242487,1129.1451784623289
2023-03-22,433.606373259872,-240.5824201521505,1170.6482055726824
2023-03-23,453.7736420545456,-284.5490828740156,1192.1664837043961
2023-03-23,453.7736420545456,-256.77903728512035,1175.724484896895
2023-03-23,453.7736420545456,-266.13751695643856,1192.316483751398
2023-03-23,453.7736420545456,-278.88343715048654,1207.3885745062528
2023-03-24,466.80774230607204,-217.19796444490603,1243.4949076124813
2023-03-24,466.80774230607204,-283.40633959978993,1196.1351769113296
2023-03-25,528.0142851323699,-239.66105420122665,1244.3378398891098
2023-03-25,528.0142851323699,-194.72176847531958,1227.705462537931
2023-03-25,528.0142851323699,-153.3229533657469,1261.5625941461874
2023-03-25,528.0142851323699,-198.28495392715158,1256.0972164089706
2023-03-26,446.6514602629208,-232.21599427965205,1110.065049951808
2023-03-26,446.6514602629208,-278.5465515189935,1149.0143739226946
2023-03-26,446.6514602629208,-259.6122120491131,1178.6228580823506
2023-03-27,486.1692618066192,-256.4742944872396,1199.7088411618993
2023-03-27,486.1692618066192,-207.4211311392256,1230.132779987588
2023-03-28,437.83179589696806,-281.6615224151031,1220.7046737769988
2023-03-29,433.79406639572977,-259.22643777068976,1139.8375007281056
2023-03-30,453.96133516857486,-303.6108072559646,1217.8035338854504
2023-03-31,466.99543539804085,-245.4856893533558,1181.883976640668
2023-04-01,528.2019782026973,-190.7426908624164,1266.5494272219528
2023-04-01,528.2019782026973,-214.78501052447328,1293.5497578188942
2023-04-01,528.2019782026973,-277.61845453112335,1202.4016957569677
2023-04-02,446.8391533115388,-278.7846743170659,1215.4254222115835
2023-04-02,446.8391533115388,-235.38813040134528,1170.3819976237355
2023-04-02,446.8391533115388,-293.83793861231584,1164.8906627230747
2023-04-02,446.8391533115388,-260.988298684963,1182.0331501115797
2023-04-04,438.019488945343,-325.7010760323395,1196.6604039741653
2023-04-04,438.019488945343,-276.10745000482274,1166.3576106489952
2023-04-04,438.019488945343,-293.4298186070927,1182.6058777907283
2023-04-05,433.98175944420257,-271.2406560955255,1171.9803734072962
2023-04-05,433.98175944420257,-314.3520229078303,1180.7607221931487
2023-04-06,454.14902821698035,-224.27185022319406,1212.4841662089557
2023-04-08,528.3896712512311,-167.64003281270072,1278.4580363853945
2023-04-08,528.3896712512311,-153.02001242108804,1307.843782946419
2023-04-08,528.3896712512311,-237.35451807475076,1231.016371911407
2023-04-08,528.3896712512311,-194.1148224963986,1271.4668619716533
2023-04-08,528.3896712512311,-215.2937771677356,1225.8744973558069
2023-04-09,447.02684636005824,-298.01369460659396,1118.25893510888
2023-04-09,447.02684636005824,-293.61353911102486,1137.2255833519223
2023-04-09,447.02684636005824,-250.38246943080756,1183.5500879362908
2023-04-09,447.02684636005824,-267.7819437444669,1165.2174879856361
2023-04-09,447.02684636005824,-254.70276315135803,1230.3574918644463
2023-04-09,447.02684636005824,-217.57911575001916,1200.217599177934
2023-04-10,486.544647903737,-214.20020745619104,1228.339035743015
2023-04-10,486.544647903737,-244.6776735728995,1192.0664828758968
2023-04-11,438.20718198739604,-274.4859741693742,1145.9315981443247
2023-04-12,434.1694524792992,-321.9302290498286,1099.5532578216244
2023-04-12,434.1694524792992,-288.2374871229185,1170.3529402112154
2023-04-12,434.1694524792992,-264.4367144118083,1131.1448769954798
2023-04-12,434.1694524792992,-292.06356156276905,1099.1624344793477
2023-04-12,434.1694524792992,-352.32951004443754,1165.984091802141
2023-04-13,454.33672124571535,-246.38494714855958,1188.7524957481742
2023-04-13,454.33672124571535,-274.332517214689,1207.0510934246217
2023-04-13,454.33672124571535,-239.31746089488388,1241.8670377431317
2023-04-15,528.5773642662622,-204.99751402124946,1279.9990102150268
2023-04-15,528.5773642662622,-161.91986712595738,1240.6603720831004
2023-04-16,447.2145393684493,-253.9481950218834,1128.6781758158183
2023-04-17,486.73234090553893,-295.0253516884155,1211.3471495567228
2023-04-18,438.3948749890309,-294.5105207450678,1160.4530949618031
2023-04-18,438.3948749890309,-238.871543958714,1173.3876669426888
2023-04-18,438.3948749890309,-234.08657698431725,1120.0775590350231
2023-04-18,438.3948749890309,-320.97478841679447,1198.659604049577
2023-04-19,434.35714548095564,-268.6432664085532,1133.5527536620018
2023-04-19,434.35714548095564,-304.39556815087644,1158.6114371203741
2023-04-19,434.35714548095564,-347.31704528933,1116.1082422867453
2023-04-19,434.35714548095564,-250.8941669897172,1214.5075480635337
2023-04-19,434.35714548095564,-305.0117075425084,1137.5796773960592
2023-04-19,434.35714548095564,-266.3215545412134,1135.6502762642756
2023-04-20,454.52441424730455,-273.6863213060292,1191.7196882379749
2023-04-20,454.52441424730455,-248.90845651884783,1135.8894686494157
2023-04-20,454.52441424730455,-261.6495238299183,1160.5619179904356
2023-04-20,454.52441424730455,-218.7611046046386,1208.4695108027963
2023-04-20,454.52441424730455,-224.47970223670697,1149.5863397900764
2023-04-21,467.5585144701817,-205.86320040953103,1153.7655321096381
2023-04-21,467.5585144701817,-194.25258105153793,1264.0206812826436
2023-04-22,528.7650572680421,-165.3057390594357,1249.8142092552807
2023-04-22,528.7650572680421,-181.536329805842,1222.650908254266
2023-04-22,528.7650572680421,-125.23043161502359,1274.7867890020166
2023-04-23,447.4022324385891,-304.02333000322244,1165.5703462599872
2023-04-23,447.4022324385891,-254.97093328765223,1198.6370921753805
2023-04-23,447.4022324385891,-315.939940221222,1161.17588372785
2023-04-23,447.4022324385891,-254.99591177511957,1215.8640548513793
2023-04-23,447.4022324385891,-306.16406149038573,1134.2754379309927
2023-04-23,447.4022324385891,-281.61655852905074,1174.1906957228996
2023-04-23,447.4022324385891,-284.29492010518806,1189.7643201654284
2023-04-24,486.92003404377925,-220.60579274827074,1208.4805210957172
2023-04-24,486.92003404377925,-235.5177552997607,1249.616245477816
2023-04-25,438.5825681957868,-240.06391503838157,1147.1625423661717
2023-04-25,438.5825681957868,-239.41698553308515,1151.1517937333672
2023-04-25,438.5825681957868,-243.96478282215773,1188.6181331768116
2023-04-26,434.5448387560164,-247.23893987217164,1195.2110014332873
2023-04-26,434.5448387560164,-280.4154277713521,1134.4042739319455
2023-04-26,434.5448387560164,-247.72593783170754,1248.6460992042437
2023-04-27,454.71210759078093,-291.394789628956,1131.9727595853062
2023-04-27,454.71210759078093,-301.90658455463665,1135.3973882147914
2023-04-27,454.71210759078093,-266.93392847895524,1138.4294316490223
